% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
3.71021	1	3	1	2.63114e-12	5547.41	0
3.71021	1	4	3	2.63114e-12	5547.41	0
3.71121	1	1	2	7.80051e-13	1644.64	0
3.71121	1	2	4	2.63114e-12	5547.41	0
3.71121	1	3	1	2.63114e-12	5547.41	0
3.71121	1	4	3	2.63114e-12	5547.41	0
3.71221	1	1	2	7.80032e-13	1644.6	0
3.71221	1	2	4	2.63114e-12	5547.41	0
3.71221	1	3	1	2.63114e-12	5547.41	0
3.71221	1	4	3	2.63114e-12	5547.41	0
3.71321	1	1	2	7.80014e-13	1644.56	0
3.71321	1	2	4	2.63114e-12	5547.41	0
3.71321	1	3	1	2.63114e-12	5547.41	0
3.71321	1	4	3	2.63114e-12	5547.41	0
3.71421	1	1	2	7.79996e-13	1644.52	0
3.71421	1	2	4	2.63114e-12	5547.41	0
3.71421	1	3	1	2.63114e-12	5547.41	0
3.71421	1	4	3	2.63114e-12	5547.41	0
3.71521	1	1	2	7.79977e-13	1644.48	0
3.71521	1	2	4	2.63114e-12	5547.41	0
3.71521	1	3	1	2.63114e-12	5547.41	0
3.71521	1	4	3	2.63114e-12	5547.41	0
3.71621	1	1	2	7.79959e-13	1644.44	0
3.71621	1	2	4	2.63114e-12	5547.41	0
3.71621	1	3	1	2.63114e-12	5547.41	0
3.71621	1	4	3	2.63114e-12	5547.41	0
3.71721	1	1	2	7.79941e-13	1644.4	0
3.71721	1	2	4	2.63114e-12	5547.41	0
3.71721	1	3	1	2.63114e-12	5547.41	0
3.71721	1	4	3	2.63114e-12	5547.41	0
3.71821	1	1	2	7.79922e-13	1644.37	0
3.71821	1	2	4	2.63114e-12	5547.41	0
3.71821	1	3	1	2.63114e-12	5547.41	0
3.71821	1	4	3	2.63114e-12	5547.41	0
3.71921	1	1	2	7.79904e-13	1644.33	0
3.71921	1	2	4	2.63114e-12	5547.41	0
3.71921	1	3	1	2.63114e-12	5547.41	0
3.71921	1	4	3	2.63114e-12	5547.41	0
3.72021	1	1	2	7.79886e-13	1644.29	0
3.72021	1	2	4	2.63114e-12	5547.41	0
3.72021	1	3	1	2.63114e-12	5547.41	0
3.72021	1	4	3	2.63114e-12	5547.41	0
3.72121	1	1	2	7.79867e-13	1644.25	0
3.72121	1	2	4	2.63114e-12	5547.41	0
3.72121	1	3	1	2.63114e-12	5547.41	0
3.72121	1	4	3	2.63114e-12	5547.41	0
3.72221	1	1	2	7.79849e-13	1644.21	0
3.72221	1	2	4	2.63114e-12	5547.41	0
3.72221	1	3	1	2.63114e-12	5547.41	0
3.72221	1	4	3	2.63114e-12	5547.41	0
3.72321	1	1	2	7.79831e-13	1644.17	0
3.72321	1	2	4	2.63114e-12	5547.41	0
3.72321	1	3	1	2.63114e-12	5547.41	0
3.72321	1	4	3	2.63114e-12	5547.41	0
3.72421	1	1	2	7.79812e-13	1644.13	0
3.72421	1	2	4	2.63114e-12	5547.41	0
3.72421	1	3	1	2.63114e-12	5547.41	0
3.72421	1	4	3	2.63114e-12	5547.41	0
3.72521	1	1	2	7.79794e-13	1644.1	0
3.72521	1	2	4	2.63114e-12	5547.41	0
3.72521	1	3	1	2.63114e-12	5547.41	0
3.72521	1	4	3	2.63114e-12	5547.41	0
3.72621	1	1	2	7.79776e-13	1644.06	0
3.72621	1	2	4	2.63114e-12	5547.41	0
3.72621	1	3	1	2.63114e-12	5547.41	0
3.72621	1	4	3	2.63114e-12	5547.41	0
3.72721	1	1	2	7.79757e-13	1644.02	0
3.72721	1	2	4	2.63114e-12	5547.41	0
3.72721	1	3	1	2.63114e-12	5547.41	0
3.72721	1	4	3	2.63114e-12	5547.41	0
3.72821	1	1	2	7.79739e-13	1643.98	0
3.72821	1	2	4	2.63114e-12	5547.41	0
3.72821	1	3	1	2.63114e-12	5547.41	0
3.72821	1	4	3	2.63114e-12	5547.41	0
3.72921	1	1	2	7.79721e-13	1643.94	0
3.72921	1	2	4	2.63114e-12	5547.41	0
3.72921	1	3	1	2.63114e-12	5547.41	0
3.72921	1	4	3	2.63114e-12	5547.41	0
3.73021	1	1	2	7.79702e-13	1643.9	0
3.73021	1	2	4	2.63114e-12	5547.41	0
3.73021	1	3	1	2.63114e-12	5547.41	0
3.73021	1	4	3	2.63114e-12	5547.41	0
3.73121	1	1	2	7.79684e-13	1643.86	0
3.73121	1	2	4	2.63114e-12	5547.41	0
3.73121	1	3	1	2.63114e-12	5547.41	0
3.73121	1	4	3	2.63114e-12	5547.41	0
3.73221	1	1	2	7.79666e-13	1643.82	0
3.73221	1	2	4	2.63114e-12	5547.41	0
3.73221	1	3	1	2.63114e-12	5547.41	0
3.73221	1	4	3	2.63114e-12	5547.41	0
3.73321	1	1	2	7.79647e-13	1643.79	0
3.73321	1	2	4	2.63114e-12	5547.41	0
3.73321	1	3	1	2.63114e-12	5547.41	0
3.73321	1	4	3	2.63114e-12	5547.41	0
3.73421	1	1	2	7.79629e-13	1643.75	0
3.73421	1	2	4	2.63114e-12	5547.41	0
3.73421	1	3	1	2.63114e-12	5547.41	0
3.73421	1	4	3	2.63114e-12	5547.41	0
3.73521	1	1	2	7.79611e-13	1643.71	0
3.73521	1	2	4	2.63114e-12	5547.41	0
3.73521	1	3	1	2.63114e-12	5547.41	0
3.73521	1	4	3	2.63114e-12	5547.41	0
3.73621	1	1	2	7.79592e-13	1643.67	0
3.73621	1	2	4	2.63114e-12	5547.41	0
3.73621	1	3	1	2.63114e-12	5547.41	0
3.73621	1	4	3	2.63114e-12	5547.41	0
3.73721	1	1	2	7.79574e-13	1643.63	0
3.73721	1	2	4	2.63114e-12	5547.41	0
3.73721	1	3	1	2.63114e-12	5547.41	0
3.73721	1	4	3	2.63114e-12	5547.41	0
3.73821	1	1	2	7.79556e-13	1643.59	0
3.73821	1	2	4	2.63114e-12	5547.41	0
3.73821	1	3	1	2.63114e-12	5547.41	0
3.73821	1	4	3	2.63114e-12	5547.41	0
3.73921	1	1	2	7.79537e-13	1643.55	0
3.73921	1	2	4	2.63114e-12	5547.41	0
3.73921	1	3	1	2.63114e-12	5547.41	0
3.73921	1	4	3	2.63114e-12	5547.41	0
3.74021	1	1	2	7.79519e-13	1643.52	0
3.74021	1	2	4	2.63114e-12	5547.41	0
3.74021	1	3	1	2.63114e-12	5547.41	0
3.74021	1	4	3	2.63114e-12	5547.41	0
3.74121	1	1	2	7.79501e-13	1643.48	0
3.74121	1	2	4	2.63114e-12	5547.41	0
3.74121	1	3	1	2.63114e-12	5547.41	0
3.74121	1	4	3	2.63114e-12	5547.41	0
3.74221	1	1	2	7.79482e-13	1643.44	0
3.74221	1	2	4	2.63114e-12	5547.41	0
3.74221	1	3	1	2.63114e-12	5547.41	0
3.74221	1	4	3	2.63114e-12	5547.41	0
3.74321	1	1	2	7.79464e-13	1643.4	0
3.74321	1	2	4	2.63114e-12	5547.41	0
3.74321	1	3	1	2.63114e-12	5547.41	0
3.74321	1	4	3	2.63114e-12	5547.41	0
3.74421	1	1	2	7.79446e-13	1643.36	0
3.74421	1	2	4	2.63114e-12	5547.41	0
3.74421	1	3	1	2.63114e-12	5547.41	0
3.74421	1	4	3	2.63114e-12	5547.41	0
3.74521	1	1	2	7.79427e-13	1643.32	0
3.74521	1	2	4	2.63114e-12	5547.41	0
3.74521	1	3	1	2.63114e-12	5547.41	0
3.74521	1	4	3	2.63114e-12	5547.41	0
3.74621	1	1	2	7.79409e-13	1643.28	0
3.74621	1	2	4	2.63114e-12	5547.41	0
3.74621	1	3	1	2.63114e-12	5547.41	0
3.74621	1	4	3	2.63114e-12	5547.41	0
3.74721	1	1	2	7.79391e-13	1643.24	0
3.74721	1	2	4	2.63114e-12	5547.41	0
3.74721	1	3	1	2.63114e-12	5547.41	0
3.74721	1	4	3	2.63114e-12	5547.41	0
3.74821	1	1	2	7.79372e-13	1643.21	0
3.74821	1	2	4	2.63114e-12	5547.41	0
3.74821	1	3	1	2.63114e-12	5547.41	0
3.74821	1	4	3	2.63114e-12	5547.41	0
3.74921	1	1	2	7.79354e-13	1643.17	0
3.74921	1	2	4	2.63114e-12	5547.41	0
3.74921	1	3	1	2.63114e-12	5547.41	0
3.74921	1	4	3	2.63114e-12	5547.41	0
3.75021	1	1	2	7.79336e-13	1643.13	0
3.75021	1	2	4	2.63114e-12	5547.41	0
3.75021	1	3	1	2.63114e-12	5547.41	0
3.75021	1	4	3	2.63114e-12	5547.41	0
3.75121	1	1	2	7.79317e-13	1643.09	0
3.75121	1	2	4	2.63114e-12	5547.41	0
3.75121	1	3	1	2.63114e-12	5547.41	0
3.75121	1	4	3	2.63114e-12	5547.41	0
3.75221	1	1	2	7.79299e-13	1643.05	0
3.75221	1	2	4	2.63114e-12	5547.41	0
3.75221	1	3	1	2.63114e-12	5547.41	0
3.75221	1	4	3	2.63114e-12	5547.41	0
3.75321	1	1	2	7.79281e-13	1643.01	0
3.75321	1	2	4	2.63114e-12	5547.41	0
3.75321	1	3	1	2.63114e-12	5547.41	0
3.75321	1	4	3	2.63114e-12	5547.41	0
3.75421	1	1	2	7.79263e-13	1642.97	0
3.75421	1	2	4	2.63114e-12	5547.41	0
3.75421	1	3	1	2.63114e-12	5547.41	0
3.75421	1	4	3	2.63114e-12	5547.41	0
3.75521	1	1	2	7.79244e-13	1642.94	0
3.75521	1	2	4	2.63114e-12	5547.41	0
3.75521	1	3	1	2.63114e-12	5547.41	0
3.75521	1	4	3	2.63114e-12	5547.41	0
3.75621	1	1	2	7.79226e-13	1642.9	0
3.75621	1	2	4	2.63114e-12	5547.41	0
3.75621	1	3	1	2.63114e-12	5547.41	0
3.75621	1	4	3	2.63114e-12	5547.41	0
3.75721	1	1	2	7.79208e-13	1642.86	0
3.75721	1	2	4	2.63114e-12	5547.41	0
3.75721	1	3	1	2.63114e-12	5547.41	0
3.75721	1	4	3	2.63114e-12	5547.41	0
3.75821	1	1	2	7.79189e-13	1642.82	0
3.75821	1	2	4	2.63114e-12	5547.41	0
3.75821	1	3	1	2.63114e-12	5547.41	0
3.75821	1	4	3	2.63114e-12	5547.41	0
3.75921	1	1	2	7.79171e-13	1642.78	0
3.75921	1	2	4	2.63114e-12	5547.41	0
3.75921	1	3	1	2.63114e-12	5547.41	0
3.75921	1	4	3	2.63114e-12	5547.41	0
3.76021	1	1	2	7.79153e-13	1642.74	0
3.76021	1	2	4	2.63114e-12	5547.41	0
3.76021	1	3	1	2.63114e-12	5547.41	0
3.76021	1	4	3	2.63114e-12	5547.41	0
3.76121	1	1	2	7.79134e-13	1642.7	0
3.76121	1	2	4	2.63114e-12	5547.41	0
3.76121	1	3	1	2.63114e-12	5547.41	0
3.76121	1	4	3	2.63114e-12	5547.41	0
3.76221	1	1	2	7.79116e-13	1642.67	0
3.76221	1	2	4	2.63114e-12	5547.41	0
3.76221	1	3	1	2.63114e-12	5547.41	0
3.76221	1	4	3	2.63114e-12	5547.41	0
3.76321	1	1	2	7.79098e-13	1642.63	0
3.76321	1	2	4	2.63114e-12	5547.41	0
3.76321	1	3	1	2.63114e-12	5547.41	0
3.76321	1	4	3	2.63114e-12	5547.41	0
3.76421	1	1	2	7.79079e-13	1642.59	0
3.76421	1	2	4	2.63114e-12	5547.41	0
3.76421	1	3	1	2.63114e-12	5547.41	0
3.76421	1	4	3	2.63114e-12	5547.41	0
3.76521	1	1	2	7.79061e-13	1642.55	0
3.76521	1	2	4	2.63114e-12	5547.41	0
3.76521	1	3	1	2.63114e-12	5547.41	0
3.76521	1	4	3	2.63114e-12	5547.41	0
3.76621	1	1	2	7.79043e-13	1642.51	0
3.76621	1	2	4	2.63114e-12	5547.41	0
3.76621	1	3	1	2.63114e-12	5547.41	0
3.76621	1	4	3	2.63114e-12	5547.41	0
3.76721	1	1	2	7.79024e-13	1642.47	0
3.76721	1	2	4	2.63114e-12	5547.41	0
3.76721	1	3	1	2.63114e-12	5547.41	0
3.76721	1	4	3	2.63114e-12	5547.41	0
3.76821	1	1	2	7.79006e-13	1642.43	0
3.76821	1	2	4	2.63114e-12	5547.41	0
3.76821	1	3	1	2.63114e-12	5547.41	0
3.76821	1	4	3	2.63114e-12	5547.41	0
3.76921	1	1	2	7.78988e-13	1642.4	0
3.76921	1	2	4	2.63114e-12	5547.41	0
3.76921	1	3	1	2.63114e-12	5547.41	0
3.76921	1	4	3	2.63114e-12	5547.41	0
3.77021	1	1	2	7.7897e-13	1642.36	0
3.77021	1	2	4	2.63114e-12	5547.41	0
3.77021	1	3	1	2.63114e-12	5547.41	0
3.77021	1	4	3	2.63114e-12	5547.41	0
3.77121	1	1	2	7.78951e-13	1642.32	0
3.77121	1	2	4	2.63114e-12	5547.41	0
3.77121	1	3	1	2.63114e-12	5547.41	0
3.77121	1	4	3	2.63114e-12	5547.41	0
3.77221	1	1	2	7.78933e-13	1642.28	0
3.77221	1	2	4	2.63114e-12	5547.41	0
3.77221	1	3	1	2.63114e-12	5547.41	0
3.77221	1	4	3	2.63114e-12	5547.41	0
3.77321	1	1	2	7.78915e-13	1642.24	0
3.77321	1	2	4	2.63114e-12	5547.41	0
3.77321	1	3	1	2.63114e-12	5547.41	0
3.77321	1	4	3	2.63114e-12	5547.41	0
3.77421	1	1	2	7.78896e-13	1642.2	0
3.77421	1	2	4	2.63114e-12	5547.41	0
3.77421	1	3	1	2.63114e-12	5547.41	0
3.77421	1	4	3	2.63114e-12	5547.41	0
3.77521	1	1	2	7.78878e-13	1642.16	0
3.77521	1	2	4	2.63114e-12	5547.41	0
3.77521	1	3	1	2.63114e-12	5547.41	0
3.77521	1	4	3	2.63114e-12	5547.41	0
3.77621	1	1	2	7.7886e-13	1642.13	0
3.77621	1	2	4	2.63114e-12	5547.41	0
3.77621	1	3	1	2.63114e-12	5547.41	0
3.77621	1	4	3	2.63114e-12	5547.41	0
3.77721	1	1	2	7.78841e-13	1642.09	0
3.77721	1	2	4	2.63114e-12	5547.41	0
3.77721	1	3	1	2.63114e-12	5547.41	0
3.77721	1	4	3	2.63114e-12	5547.41	0
3.77821	1	1	2	7.78823e-13	1642.05	0
3.77821	1	2	4	2.63114e-12	5547.41	0
3.77821	1	3	1	2.63114e-12	5547.41	0
3.77821	1	4	3	2.63114e-12	5547.41	0
3.77921	1	1	2	7.78805e-13	1642.01	0
3.77921	1	2	4	2.63114e-12	5547.41	0
3.77921	1	3	1	2.63114e-12	5547.41	0
3.77921	1	4	3	2.63114e-12	5547.41	0
3.78021	1	1	2	7.78786e-13	1641.97	0
3.78021	1	2	4	2.63114e-12	5547.41	0
3.78021	1	3	1	2.63114e-12	5547.41	0
3.78021	1	4	3	2.63114e-12	5547.41	0
3.78121	1	1	2	7.78768e-13	1641.93	0
3.78121	1	2	4	2.63114e-12	5547.41	0
3.78121	1	3	1	2.63114e-12	5547.41	0
3.78121	1	4	3	2.63114e-12	5547.41	0
3.78221	1	1	2	7.7875e-13	1641.89	0
3.78221	1	2	4	2.63114e-12	5547.41	0
3.78221	1	3	1	2.63114e-12	5547.41	0
3.78221	1	4	3	2.63114e-12	5547.41	0
3.78321	1	1	2	7.78732e-13	1641.86	0
3.78321	1	2	4	2.63114e-12	5547.41	0
3.78321	1	3	1	2.63114e-12	5547.41	0
3.78321	1	4	3	2.63114e-12	5547.41	0
3.78421	1	1	2	7.78713e-13	1641.82	0
3.78421	1	2	4	2.63114e-12	5547.41	0
3.78421	1	3	1	2.63114e-12	5547.41	0
3.78421	1	4	3	2.63114e-12	5547.41	0
3.78521	1	1	2	7.78695e-13	1641.78	0
3.78521	1	2	4	2.63114e-12	5547.41	0
3.78521	1	3	1	2.63114e-12	5547.41	0
3.78521	1	4	3	2.63114e-12	5547.41	0
3.78621	1	1	2	7.78677e-13	1641.74	0
3.78621	1	2	4	2.63114e-12	5547.41	0
3.78621	1	3	1	2.63114e-12	5547.41	0
3.78621	1	4	3	2.63114e-12	5547.41	0
3.78721	1	1	2	7.78658e-13	1641.7	0
3.78721	1	2	4	2.63114e-12	5547.41	0
3.78721	1	3	1	2.63114e-12	5547.41	0
3.78721	1	4	3	2.63114e-12	5547.41	0
3.78821	1	1	2	7.7864e-13	1641.66	0
3.78821	1	2	4	2.63114e-12	5547.41	0
3.78821	1	3	1	2.63114e-12	5547.41	0
3.78821	1	4	3	2.63114e-12	5547.41	0
3.78921	1	1	2	7.78622e-13	1641.62	0
3.78921	1	2	4	2.63114e-12	5547.41	0
3.78921	1	3	1	2.63114e-12	5547.41	0
3.78921	1	4	3	2.63114e-12	5547.41	0
3.79021	1	1	2	7.78603e-13	1641.58	0
3.79021	1	2	4	2.63114e-12	5547.41	0
3.79021	1	3	1	2.63114e-12	5547.41	0
3.79021	1	4	3	2.63114e-12	5547.41	0
3.79121	1	1	2	7.78585e-13	1641.55	0
3.79121	1	2	4	2.63114e-12	5547.41	0
3.79121	1	3	1	2.63114e-12	5547.41	0
3.79121	1	4	3	2.63114e-12	5547.41	0
3.79221	1	1	2	7.78567e-13	1641.51	0
3.79221	1	2	4	2.63114e-12	5547.41	0
3.79221	1	3	1	2.63114e-12	5547.41	0
3.79221	1	4	3	2.63114e-12	5547.41	0
3.79321	1	1	2	7.78549e-13	1641.47	0
3.79321	1	2	4	2.63114e-12	5547.41	0
3.79321	1	3	1	2.63114e-12	5547.41	0
3.79321	1	4	3	2.63114e-12	5547.41	0
3.79421	1	1	2	7.7853e-13	1641.43	0
3.79421	1	2	4	2.63114e-12	5547.41	0
3.79421	1	3	1	2.63114e-12	5547.41	0
3.79421	1	4	3	2.63114e-12	5547.41	0
3.79521	1	1	2	7.78512e-13	1641.39	0
3.79521	1	2	4	2.63114e-12	5547.41	0
3.79521	1	3	1	2.63114e-12	5547.41	0
3.79521	1	4	3	2.63114e-12	5547.41	0
3.79621	1	1	2	7.78494e-13	1641.35	0
3.79621	1	2	4	2.63114e-12	5547.41	0
3.79621	1	3	1	2.63114e-12	5547.41	0
3.79621	1	4	3	2.63114e-12	5547.41	0
3.79721	1	1	2	7.78475e-13	1641.31	0
3.79721	1	2	4	2.63114e-12	5547.41	0
3.79721	1	3	1	2.63114e-12	5547.41	0
3.79721	1	4	3	2.63114e-12	5547.41	0
3.79821	1	1	2	7.78457e-13	1641.28	0
3.79821	1	2	4	2.63114e-12	5547.41	0
3.79821	1	3	1	2.63114e-12	5547.41	0
3.79821	1	4	3	2.63114e-12	5547.41	0
3.79921	1	1	2	7.78439e-13	1641.24	0
3.79921	1	2	4	2.63114e-12	5547.41	0
3.79921	1	3	1	2.63114e-12	5547.41	0
3.79921	1	4	3	2.63114e-12	5547.41	0
3.80021	1	1	2	7.78421e-13	1641.2	0
3.80021	1	2	4	2.63114e-12	5547.41	0
3.80021	1	3	1	2.63114e-12	5547.41	0
3.80021	1	4	3	2.63114e-12	5547.41	0
3.80121	1	1	2	7.78402e-13	1641.16	0
