% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.102	1	1	11	3	2	28	549	0	0	0
0.102	1	4	11	3	3	28	549	0	0	0
0.102	1	2	11	3	4	28	549	0	0	0
0.103	1	3	11	4	1	28	549	0	0	0
0.103	1	1	11	4	2	28	549	0	0	0
0.103	1	4	11	4	3	28	549	0	0	0
0.103	1	2	11	4	4	28	549	0	0	0
0.104	1	3	11	5	1	28	549	0	0	0
0.104	1	1	11	5	2	28	549	0	0	0
0.104	1	4	11	5	3	28	549	0	0	0
0.104	1	2	11	5	4	28	549	0	0	0
0.105	1	3	11	6	1	28	549	0	0	0
0.105	1	1	11	6	2	28	549	0	0	0
0.105	1	4	11	6	3	28	549	0	0	0
0.105	1	2	11	6	4	28	549	0	0	0
0.106	1	3	11	7	1	28	549	0	0	0
0.106	1	1	11	7	2	28	549	0	0	0
0.106	1	4	11	7	3	28	549	0	0	0
0.106	1	2	11	7	4	28	549	0	0	0
0.107	1	3	11	8	1	28	549	0	0	0
0.107	1	1	11	8	2	28	549	0	0	0
0.107	1	4	11	8	3	28	549	0	0	0
0.107	1	2	11	8	4	28	549	0	0	0
0.108	1	3	11	9	1	28	549	0	0	0
0.108	1	1	11	9	2	28	549	0	0	0
0.108	1	4	11	9	3	28	549	0	0	0
0.108	1	2	11	9	4	28	549	0	0	0
0.109	1	3	11	10	1	28	549	0	0	0
0.109	1	1	11	10	2	28	549	0	0	0
0.109	1	4	11	10	3	28	549	0	0	0
0.109	1	2	11	10	4	28	549	0	0	0
0.11	1	3	12	1	1	28	549	0	0	0
0.11	1	1	12	1	2	28	549	0	0	0
0.11	1	4	12	1	3	28	549	0	0	0
0.11	1	2	12	1	4	28	549	0	0	0
0.111	1	3	12	2	1	28	549	0	0	0
0.111	1	1	12	2	2	28	549	0	0	0
0.111	1	4	12	2	3	28	549	0	0	0
0.111	1	2	12	2	4	28	549	0	0	0
0.112	1	3	12	3	1	28	549	0	0	0
0.112	1	1	12	3	2	28	549	0	0	0
0.112	1	4	12	3	3	28	549	0	0	0
0.112	1	2	12	3	4	28	549	0	0	0
0.113	1	3	12	4	1	28	549	0	0	0
0.113	1	1	12	4	2	28	549	0	0	0
0.113	1	4	12	4	3	28	549	0	0	0
0.113	1	2	12	4	4	28	549	0	0	0
0.114	1	3	12	5	1	28	549	0	0	0
0.114	1	1	12	5	2	28	549	0	0	0
0.114	1	4	12	5	3	28	549	0	0	0
0.114	1	2	12	5	4	28	549	0	0	0
0.115	1	3	12	6	1	28	549	0	0	0
0.115	1	1	12	6	2	28	549	0	0	0
0.115	1	4	12	6	3	28	549	0	0	0
0.115	1	2	12	6	4	28	549	0	0	0
0.116	1	3	12	7	1	28	549	0	0	0
0.116	1	1	12	7	2	28	549	0	0	0
0.116	1	4	12	7	3	28	549	0	0	0
0.116	1	2	12	7	4	28	549	0	0	0
0.117	1	3	12	8	1	28	549	0	0	0
0.117	1	1	12	8	2	28	549	0	0	0
0.117	1	4	12	8	3	28	549	0	0	0
0.117	1	2	12	8	4	28	549	0	0	0
0.118	1	3	12	9	1	28	549	0	0	0
0.118	1	1	12	9	2	28	549	0	0	0
0.118	1	4	12	9	3	28	549	0	0	0
0.118	1	2	12	9	4	28	549	0	0	0
0.119	1	3	12	10	1	28	549	0	0	0
0.119	1	1	12	10	2	28	549	0	0	0
0.119	1	4	12	10	3	28	549	0	0	0
0.119	1	2	12	10	4	28	549	0	0	0
0.12	1	3	13	1	1	28	549	0	0	0
0.12	1	1	13	1	2	28	549	0	0	0
0.12	1	4	13	1	3	28	549	0	0	0
0.12	1	2	13	1	4	28	549	0	0	0
0.121	1	3	13	2	1	28	549	0	0	0
0.121	1	1	13	2	2	28	549	0	0	0
0.121	1	4	13	2	3	28	549	0	0	0
0.121	1	2	13	2	4	28	549	0	0	0
0.122	1	3	13	3	1	28	549	0	0	0
0.122	1	1	13	3	2	28	549	0	0	0
0.122	1	4	13	3	3	28	549	0	0	0
0.122	1	2	13	3	4	28	549	0	0	0
0.123	1	3	13	4	1	28	549	0	0	0
0.123	1	1	13	4	2	28	549	0	0	0
0.123	1	4	13	4	3	28	549	0	0	0
0.123	1	2	13	4	4	28	549	0	0	0
0.124	1	3	13	5	1	28	549	0	0	0
0.124	1	1	13	5	2	28	549	0	0	0
0.124	1	4	13	5	3	28	549	0	0	0
0.124	1	2	13	5	4	28	549	0	0	0
0.125	1	3	13	6	1	28	549	0	0	0
0.125	1	1	13	6	2	28	549	0	0	0
0.125	1	4	13	6	3	28	549	0	0	0
0.125	1	2	13	6	4	28	549	0	0	0
0.126	1	3	13	7	1	28	549	0	0	0
0.126	1	1	13	7	2	28	549	0	0	0
0.126	1	4	13	7	3	28	549	0	0	0
0.126	1	2	13	7	4	28	549	0	0	0
0.127	1	3	13	8	1	28	549	0	0	0
0.127	1	1	13	8	2	28	549	0	0	0
0.127	1	4	13	8	3	28	549	0	0	0
0.127	1	2	13	8	4	28	549	0	0	0
0.128	1	3	13	9	1	28	549	0	0	0
0.128	1	1	13	9	2	28	549	0	0	0
0.128	1	4	13	9	3	28	549	0	0	0
0.128	1	2	13	9	4	28	549	0	0	0
0.129	1	3	13	10	1	28	549	0	0	0
0.129	1	1	13	10	2	28	549	0	0	0
0.129	1	4	13	10	3	28	549	0	0	0
0.129	1	2	13	10	4	28	549	0	0	0
0.13	1	3	14	1	1	28	549	0	0	0
0.13	1	1	14	1	2	28	549	0	0	0
0.13	1	4	14	1	3	28	549	0	0	0
0.13	1	2	14	1	4	28	549	0	0	0
0.131	1	3	14	2	1	28	549	0	0	0
0.131	1	1	14	2	2	28	549	0	0	0
0.131	1	4	14	2	3	28	549	0	0	0
0.131	1	2	14	2	4	28	549	0	0	0
0.132	1	3	14	3	1	28	549	0	0	0
0.132	1	1	14	3	2	28	549	0	0	0
0.132	1	4	14	3	3	28	549	0	0	0
0.132	1	2	14	3	4	28	549	0	0	0
0.133	1	3	14	4	1	28	549	0	0	0
0.133	1	1	14	4	2	28	549	0	0	0
0.133	1	4	14	4	3	28	549	0	0	0
0.133	1	2	14	4	4	28	549	0	0	0
0.134	1	3	14	5	1	28	549	0	0	0
0.134	1	1	14	5	2	28	549	0	0	0
0.134	1	4	14	5	3	28	549	0	0	0
0.134	1	2	14	5	4	28	549	0	0	0
0.135	1	3	14	6	1	28	549	0	0	0
