Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
9.28054	DL DCI Rxed	928	0	1	2	1	0	19	2
9.28096	HARQ FD Txed	928	0	1	2	1	0	16	2
9.28104	DL DCI Rxed	928	1	0	2	1	0	18	2
9.28146	HARQ FD Txed	928	1	0	2	1	0	15	2
9.28154	DL DCI Rxed	928	1	1	2	1	0	17	2
9.28196	HARQ FD Txed	928	1	1	2	1	0	19	2
9.28204	DL DCI Rxed	928	2	0	2	1	0	16	2
9.28246	HARQ FD Txed	928	2	0	2	1	0	18	2
9.28254	DL DCI Rxed	928	2	1	2	1	0	15	2
9.28296	HARQ FD Txed	928	2	1	2	1	0	17	2
9.28304	DL DCI Rxed	928	3	0	2	1	0	19	2
9.28346	HARQ FD Txed	928	3	0	2	1	0	16	2
9.28354	DL DCI Rxed	928	3	1	2	1	0	18	2
9.28396	HARQ FD Txed	928	3	1	2	1	0	15	2
9.28404	DL DCI Rxed	928	4	0	2	1	0	17	2
9.28446	HARQ FD Txed	928	4	0	2	1	0	19	2
9.28454	DL DCI Rxed	928	4	1	2	1	0	16	2
9.28496	HARQ FD Txed	928	4	1	2	1	0	18	2
9.28504	DL DCI Rxed	928	5	0	2	1	0	15	2
9.28546	HARQ FD Txed	928	5	0	2	1	0	17	2
9.28554	DL DCI Rxed	928	5	1	2	1	0	19	2
9.28596	HARQ FD Txed	928	5	1	2	1	0	16	2
9.28604	DL DCI Rxed	928	6	0	2	1	0	18	2
9.28646	HARQ FD Txed	928	6	0	2	1	0	15	2
9.28654	DL DCI Rxed	928	6	1	2	1	0	17	2
9.28696	HARQ FD Txed	928	6	1	2	1	0	19	2
9.28704	DL DCI Rxed	928	7	0	2	1	0	16	2
9.28746	HARQ FD Txed	928	7	0	2	1	0	18	2
9.28754	DL DCI Rxed	928	7	1	2	1	0	15	2
9.28796	HARQ FD Txed	928	7	1	2	1	0	17	2
9.28804	DL DCI Rxed	928	8	0	2	1	0	19	2
9.28846	HARQ FD Txed	928	8	0	2	1	0	16	2
9.28854	DL DCI Rxed	928	8	1	2	1	0	18	2
9.28896	HARQ FD Txed	928	8	1	2	1	0	15	2
9.28904	DL DCI Rxed	928	9	0	2	1	0	17	2
9.28946	HARQ FD Txed	928	9	0	2	1	0	19	2
9.28954	DL DCI Rxed	928	9	1	2	1	0	16	2
9.28996	HARQ FD Txed	928	9	1	2	1	0	18	2
9.29004	DL DCI Rxed	929	0	0	2	1	0	15	2
9.29046	HARQ FD Txed	929	0	0	2	1	0	17	2
9.29054	DL DCI Rxed	929	0	1	2	1	0	19	2
9.29096	HARQ FD Txed	929	0	1	2	1	0	16	2
9.29104	DL DCI Rxed	929	1	0	2	1	0	18	2
9.29146	HARQ FD Txed	929	1	0	2	1	0	15	2
9.29154	DL DCI Rxed	929	1	1	2	1	0	17	2
9.29196	HARQ FD Txed	929	1	1	2	1	0	19	2
9.29204	DL DCI Rxed	929	2	0	2	1	0	16	2
9.29246	HARQ FD Txed	929	2	0	2	1	0	18	2
9.29254	DL DCI Rxed	929	2	1	2	1	0	15	2
9.29296	HARQ FD Txed	929	2	1	2	1	0	17	2
